"id","race_id","qualifier_id","name","year","age","athlete_id","final_time"
414343,5308,34695,"Ironman 70.3 Florida",2008,30,366613,5307
407151,5308,34695,"Ironman 70.3 Florida",2008,30,220468,5320
407120,5308,34695,"Ironman 70.3 Florida",2008,30,305544,5378
414349,5308,34695,"Ironman 70.3 Florida",2008,30,366621,5574
407121,5308,34695,"Ironman 70.3 Florida",2008,30,15942,5649
407125,5308,34695,"Ironman 70.3 Florida",2008,30,9939,5708
407156,5308,34695,"Ironman 70.3 Florida",2008,30,90966,5757
407134,5308,34695,"Ironman 70.3 Florida",2008,30,6605,5762
407133,5308,34695,"Ironman 70.3 Florida",2008,30,5873,5809
407137,5308,34695,"Ironman 70.3 Florida",2008,30,139397,5871
407150,5308,34695,"Ironman 70.3 Florida",2008,30,91026,5947
414359,5308,34695,"Ironman 70.3 Florida",2008,30,366631,5954
407138,5308,34695,"Ironman 70.3 Florida",2008,30,311934,5982
414383,5308,34695,"Ironman 70.3 Florida",2008,30,366660,6039
414393,5308,34695,"Ironman 70.3 Florida",2008,30,366669,6341
407175,5308,34695,"Ironman 70.3 Florida",2008,30,92894,6348
414387,5308,34695,"Ironman 70.3 Florida",2008,30,366658,6374
414390,5308,34695,"Ironman 70.3 Florida",2008,30,366663,6443
407193,5308,34695,"Ironman 70.3 Florida",2008,30,165177,6477
407183,5308,34695,"Ironman 70.3 Florida",2008,30,305571,6494
407253,5308,34695,"Ironman 70.3 Florida",2008,30,131050,6498
407297,5308,34695,"Ironman 70.3 Florida",2008,30,10161,6543
414412,5308,34695,"Ironman 70.3 Florida",2008,30,366684,6584
407192,5308,34695,"Ironman 70.3 Florida",2008,30,169287,6611
407158,5308,34695,"Ironman 70.3 Florida",2008,30,7892,6677
407160,5308,34695,"Ironman 70.3 Florida",2008,30,345387,6709
414437,5308,34695,"Ironman 70.3 Florida",2008,30,366709,6774
407169,5308,34695,"Ironman 70.3 Florida",2008,30,28658,6788
407202,5308,34695,"Ironman 70.3 Florida",2008,30,126789,6802
414445,5308,34695,"Ironman 70.3 Florida",2008,30,366718,6846
407344,5308,34695,"Ironman 70.3 Florida",2008,30,10414,6910
414415,5308,34695,"Ironman 70.3 Florida",2008,30,366688,6940
407227,5308,34695,"Ironman 70.3 Florida",2008,30,1425,6949
407359,5308,34695,"Ironman 70.3 Florida",2008,30,353707,6976
414444,5308,34695,"Ironman 70.3 Florida",2008,30,366716,6980
407191,5308,34695,"Ironman 70.3 Florida",2008,30,1109,6990
407238,5308,34695,"Ironman 70.3 Florida",2008,30,353570,6998
414555,5308,34695,"Ironman 70.3 Florida",2008,30,366824,7003
414500,5308,34695,"Ironman 70.3 Florida",2008,30,366771,7102
407265,5308,34695,"Ironman 70.3 Florida",2008,30,353541,7107
622521,5505,30692,"Ironman 70.3 Geelong",2011,30,530650,7124
414525,5308,34695,"Ironman 70.3 Florida",2008,30,366798,7136
407200,5308,34695,"Ironman 70.3 Florida",2008,30,9977,7168
407215,5308,34695,"Ironman 70.3 Florida",2008,30,5988,7193
414475,5308,34695,"Ironman 70.3 Florida",2008,30,366747,7213
414477,5308,34695,"Ironman 70.3 Florida",2008,30,366748,7222
622526,5505,30692,"Ironman 70.3 Geelong",2011,30,530652,7286
414524,5308,34695,"Ironman 70.3 Florida",2008,30,366796,7307
407205,5308,34695,"Ironman 70.3 Florida",2008,30,325069,7314
414468,5308,34695,"Ironman 70.3 Florida",2008,30,366740,7314
407254,5308,34695,"Ironman 70.3 Florida",2008,30,1109,7414
407286,5308,34695,"Ironman 70.3 Florida",2008,30,325189,7420
414637,5308,34695,"Ironman 70.3 Florida",2008,30,366908,7435
407391,5308,34695,"Ironman 70.3 Florida",2008,30,1109,7445
622531,5505,30692,"Ironman 70.3 Geelong",2011,30,530658,7449
414490,5308,34695,"Ironman 70.3 Florida",2008,30,366762,7467
407350,5308,34695,"Ironman 70.3 Florida",2008,30,10606,7478
407185,5308,34695,"Ironman 70.3 Florida",2008,30,90962,7535
415029,5308,34695,"Ironman 70.3 Florida",2008,30,367302,7567
414462,5308,34695,"Ironman 70.3 Florida",2008,30,366734,7577
414611,5308,34695,"Ironman 70.3 Florida",2008,30,366885,7594
622548,5505,30692,"Ironman 70.3 Geelong",2011,30,530676,7664
622597,5505,30692,"Ironman 70.3 Geelong",2011,30,530680,7679
622565,5505,30692,"Ironman 70.3 Geelong",2011,30,530681,7685
622553,5505,30692,"Ironman 70.3 Geelong",2011,30,530684,7693
622558,5505,30692,"Ironman 70.3 Geelong",2011,30,530687,7727
407404,5308,34695,"Ironman 70.3 Florida",2008,30,6248,7740
414583,5308,34695,"Ironman 70.3 Florida",2008,30,366853,7741
414413,5308,34695,"Ironman 70.3 Florida",2008,30,366685,7744
407372,5308,34695,"Ironman 70.3 Florida",2008,30,3805,7744
622561,5505,30692,"Ironman 70.3 Geelong",2011,30,530690,7777
414647,5308,34695,"Ironman 70.3 Florida",2008,30,366918,7787
622592,5505,30692,"Ironman 70.3 Geelong",2011,30,530691,7787
622570,5505,30692,"Ironman 70.3 Geelong",2011,30,530693,7799
622566,5505,30692,"Ironman 70.3 Geelong",2011,30,530694,7816
414875,5308,34695,"Ironman 70.3 Florida",2008,30,367148,7835
414684,5308,34695,"Ironman 70.3 Florida",2008,30,366954,7851
414631,5308,34695,"Ironman 70.3 Florida",2008,30,366903,7860
414863,5308,34695,"Ironman 70.3 Florida",2008,30,367134,7866
622571,5505,30692,"Ironman 70.3 Geelong",2011,30,530703,7880
407322,5308,34695,"Ironman 70.3 Florida",2008,30,12468,7937
414845,5308,34695,"Ironman 70.3 Florida",2008,30,367117,7939
484012,5387,4646,"Ironman 70.3 Muncie",2012,30,16058,7990
622588,5505,30692,"Ironman 70.3 Geelong",2011,30,530718,8024
