"race_id","name","year","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
5012,"Ironman 70.3 Asia Pacific Championships",2013,71.00,62.00,100.00,60.00,20.00,2364.00
5068,"Ironman St. Croix 70.3",2013,86.00,76.00,97.00,70.00,20.00,3140.00
5069,"Ironman St. Croix 70.3",2012,81.00,73.00,94.00,72.00,20.00,3140.00
5070,"Ironman St. Croix 70.3",2010,88.00,77.00,88.00,59.00,20.00,3140.00
5071,"Ironman St. Croix 70.3",2011,84.00,77.00,94.00,67.00,20.00,3140.00
5072,"Ironman St. Croix 70.3",2008,84.00,75.00,94.00,58.00,20.00,3140.00
5073,"Ironman St. Croix 70.3",2007,84.00,75.00,90.00,69.00,20.00,3140.00
5074,"Ironman St. Croix 70.3",2009,82.00,71.00,89.00,58.00,20.00,3140.00
5075,"Ironman St. Croix 70.3",2006,82.00,77.00,90.00,67.00,20.00,3140.00
5076,"Ironman St. Croix 70.3",2005,82.00,75.00,94.00,63.00,20.00,3140.00
5077,"Ironman St. Croix 70.3",2004,84.00,75.00,85.00,57.00,20.00,3140.00
5078,"Ironman St. Croix 70.3",2002,86.00,75.00,79.00,53.00,20.00,3140.00
5079,"Ironman St. Croix 70.3",2003,84.00,78.00,72.00,59.00,20.00,3140.00
5080,"Ironman St. Croix 70.3",2001,80.00,71.00,100.00,79.00,20.00,3140.00
5134,"Ironman 70.3 European Championships",2011,75.00,62.00,94.00,57.00,377.00,5721.00
5135,"Ironman 70.3 European Championships",2012,77.00,58.00,55.00,21.00,377.00,5721.00
5229,"Ironman 70.3 Japan",2012,81.90,65.80,94.00,65.00,30.00,650.00
5230,"Ironman 70.3 Eagleman",2013,80.00,60.00,100.00,54.00,20.00,490.00
5231,"Ironman 70.3 Eagleman",2006,83.00,61.00,58.00,42.00,20.00,490.00
5232,"Ironman 70.3 Eagleman",2012,89.00,62.00,94.00,33.00,20.00,490.00
5233,"Ironman 70.3 Eagleman",2011,83.00,62.00,100.00,49.00,20.00,490.00
5234,"Ironman 70.3 Eagleman",2010,91.00,73.00,94.00,66.00,20.00,490.00
5235,"Ironman 70.3 Eagleman",2009,78.00,66.00,88.00,39.00,20.00,490.00
5236,"Ironman 70.3 Eagleman",2008,95.00,78.00,74.00,39.00,20.00,490.00
5237,"Ironman 70.3 Eagleman",2007,75.00,62.00,88.00,53.00,20.00,490.00
5247,"Ironman 70.3 Hawaii",2013,84.90,66.90,90.00,58.00,40.00,2928.00
5248,"Ironman 70.3 Hawaii",2012,79.00,66.90,93.00,62.00,40.00,2928.00
5249,"Ironman 70.3 Hawaii",2011,80.10,64.90,93.00,69.00,40.00,2928.00
5250,"Ironman 70.3 Hawaii",2008,82.40,68.00,84.00,46.00,40.00,2928.00
5251,"Ironman 70.3 Hawaii",2010,82.90,68.00,90.00,47.00,40.00,2928.00
5252,"Ironman 70.3 Hawaii",2007,86.00,64.40,84.00,48.00,40.00,2928.00
5253,"Ironman 70.3 Hawaii",2009,84.20,69.80,90.00,51.00,40.00,2928.00
5285,"Ironman 70.3 California",2002,64.40,55.40,94.00,70.00,66.00,2416.00
5286,"Ironman 70.3 California",2003,82.40,41.00,77.00,16.00,66.00,2416.00
5287,"Ironman 70.3 California",2006,61.00,29.80,93.00,62.00,66.00,2416.00
5288,"Ironman 70.3 California",2005,63.00,50.00,100.00,87.00,66.00,2416.00
5289,"Ironman 70.3 California",2007,75.90,33.30,86.00,31.00,66.00,2416.00
5290,"Ironman 70.3 California",2008,60.80,51.80,93.00,63.00,66.00,2416.00
5291,"Ironman 70.3 California",2009,69.80,42.80,89.00,43.00,66.00,2416.00
5292,"Ironman 70.3 California",2010,82.40,39.20,100.00,25.00,66.00,2416.00
5293,"Ironman 70.3 California",2013,71.10,57.00,87.00,59.00,66.00,2416.00
5295,"Ironman 70.3 Texas",2010,84.90,64.90,73.00,29.00,0.00,338.00
5296,"Ironman 70.3 Texas",2011,78.80,71.10,93.00,79.00,0.00,338.00
5297,"Ironman 70.3 Texas",2013,75.90,66.00,93.00,69.00,0.00,338.00
5298,"Ironman 70.3 Texas",2012,80.10,73.00,94.00,79.00,0.00,338.00
5299,"Ironman 70.3 Puerto Rico",2011,82.90,73.00,79.00,58.00,0.00,1379.00
5300,"Ironman 70.3 Puerto Rico",2013,84.00,73.00,85.00,47.00,0.00,1379.00
5301,"Ironman 70.3 Puerto Rico",2012,84.00,73.00,84.00,55.00,0.00,1379.00
5302,"Ironman 70.3 New Orleans",2010,81.00,55.00,87.00,40.00,0.00,427.00
5303,"Ironman 70.3 New Orleans",2011,75.00,51.10,78.00,34.00,0.00,427.00
5304,"Ironman 70.3 New Orleans",2012,78.10,55.90,77.00,35.00,0.00,427.00
5305,"Ironman 70.3 New Orleans",2009,82.90,68.00,93.00,37.00,0.00,427.00
5306,"Ironman 70.3 New Orleans",2013,65.10,57.90,77.00,38.00,0.00,427.00
5307,"Ironman 70.3 Florida",2005,86.00,69.80,90.00,42.00,162.00,1673.00
5308,"Ironman 70.3 Florida",2008,87.80,73.40,97.00,53.00,162.00,1673.00
5309,"Ironman 70.3 Florida",2010,89.60,73.40,93.00,42.00,162.00,1673.00
5310,"Ironman 70.3 Florida",2004,89.60,66.20,90.00,29.00,162.00,1673.00
5311,"Ironman 70.3 Florida",2012,89.60,68.00,90.00,18.00,162.00,1673.00
5312,"Ironman 70.3 Florida",2009,89.00,71.00,91.00,44.00,162.00,1673.00
5313,"Ironman 70.3 Florida",2007,86.00,60.80,93.00,26.00,162.00,1673.00
5314,"Ironman 70.3 Florida",2013,91.40,68.00,87.00,36.00,162.00,1673.00
5315,"Ironman 70.3 Florida",2011,84.20,66.20,92.00,42.00,162.00,1673.00
5316,"Ironman 70.3 St. George",2013,86.00,48.20,15.00,10.00,2761.00,2238.00
5317,"Ironman 70.3 Busselton",2012,75.00,56.50,86.00,54.00,13.00,482.00
5318,"Ironman 70.3 Busselton",2013,66.00,43.50,76.00,36.00,13.00,482.00
5319,"Ironman 70.3 Busselton",2011,70.50,44.20,76.00,38.00,13.00,482.00
5320,"Ironman 70.3 Mallorca",2011,78.80,55.40,100.00,35.00,49.00,3049.00
5321,"Ironman 70.3 Mallorca",2012,78.30,51.80,82.00,24.00,49.00,3049.00
5322,"Ironman 70.3 Mallorca",2013,75.00,55.40,100.00,44.00,49.00,3049.00
5323,"Ironman 70.3 Aix en Provence",2012,79.50,64.20,78.00,36.00,568.00,4944.00
5324,"Ironman 70.3 Aix en Provence",2013,79.30,53.60,88.00,35.00,568.00,4944.00
5325,"Ironman 70.3 Aix en Provence",2011,77.00,64.40,88.00,45.00,568.00,4944.00
5326,"Ironman 70.3 St. Polten",2007,75.90,54.50,94.00,42.00,876.00,3528.00
5327,"Ironman 70.3 St. Polten",2008,73.20,48.20,94.00,32.00,876.00,3528.00
5328,"Ironman 70.3 St. Polten",2009,77.50,48.40,93.00,36.00,876.00,3528.00
5329,"Ironman 70.3 St. Polten",2012,73.40,46.00,76.00,13.00,876.00,3528.00
5330,"Ironman 70.3 St. Polten",2010,68.70,57.20,100.00,62.00,876.00,3528.00
5331,"Ironman 70.3 St. Polten",2011,77.00,42.80,94.00,32.00,876.00,3528.00
5332,"Ironman 70.3 St. Polten",2013,61.00,48.20,82.00,32.00,876.00,3528.00
5333,"Ironman 70.3 Rapperswil-Jona",2007,67.80,51.30,100.00,53.00,1338.00,3742.00
5334,"Ironman 70.3 Rapperswil-Jona",2009,68.40,51.30,94.00,31.00,1338.00,3742.00
5335,"Ironman 70.3 Rapperswil-Jona",2010,82.00,59.20,94.00,26.00,1338.00,3742.00
5336,"Ironman 70.3 Rapperswil-Jona",2011,78.10,57.20,100.00,25.00,1338.00,3742.00
5337,"Ironman 70.3 Rapperswil-Jona",2012,66.40,53.80,94.00,68.00,1338.00,3742.00
5338,"Ironman 70.3 Raleigh",2013,89.10,66.90,90.00,48.00,345.00,3305.00
5339,"Ironman 70.3 Italy",2011,77.00,56.70,88.00,58.00,0.00,3014.00
5340,"Ironman 70.3 Italy",2012,79.30,66.20,88.00,54.00,0.00,3014.00
5341,"Ironman 70.3 Italy",2013,82.60,58.30,94.00,44.00,0.00,3014.00
5342,"Ironman 70.3 Boise",2009,77.00,59.00,93.00,38.00,2710.00,1684.00
5343,"Ironman 70.3 Boise",2008,78.10,52.00,86.00,52.00,2710.00,1684.00
5344,"Ironman 70.3 Boise",2012,68.00,43.00,89.00,29.00,2710.00,1684.00
5345,"Ironman 70.3 Boise",2011,72.00,48.00,80.00,24.00,2710.00,1684.00
5346,"Ironman 70.3 Boise",2013,91.00,59.00,52.00,10.00,2710.00,1684.00
5347,"Ironman 70.3 Boise",2010,82.90,44.10,66.00,20.00,2710.00,1684.00
5348,"Ironman 70.3 Cairns",2012,79.50,62.40,67.00,19.00,10.00,1717.00
5349,"Ironman 70.3 Cairns",2013,80.10,68.90,46.00,13.00,10.00,1717.00
5350,"Ironman 70.3 Cairns",2011,81.50,55.60,51.00,24.00,10.00,1717.00
5351,"Ironman 70.3 Kansas",2008,84.00,64.90,88.00,62.00,975.00,3063.00
5352,"Ironman 70.3 Kansas",2011,78.10,63.00,90.00,62.00,975.00,3063.00
5353,"Ironman 70.3 Kansas",2012,93.90,71.10,73.00,39.00,975.00,3063.00
5354,"Ironman 70.3 Kansas",2009,82.40,60.80,88.00,49.00,975.00,3063.00
5355,"Ironman 70.3 Kansas",2013,82.90,64.00,93.00,34.00,975.00,3063.00
5356,"Ironman 70.3 UK",2006,73.40,51.80,100.00,64.00,800.00,6185.00
5357,"Ironman 70.3 UK",2008,73.40,44.60,94.00,52.00,800.00,6185.00
5358,"Ironman 70.3 UK",2010,70.00,35.80,82.00,35.00,800.00,6185.00
5359,"Ironman 70.3 UK",2007,64.40,51.80,94.00,68.00,800.00,6185.00
5360,"Ironman 70.3 UK",2013,57.70,51.10,94.00,77.00,800.00,6185.00
5361,"Ironman 70.3 UK",2009,68.00,48.20,100.00,43.00,800.00,6185.00
5362,"Ironman 70.3 UK",2011,65.80,53.10,88.00,48.00,800.00,6185.00
5363,"Ironman 70.3 Boulder",2013,86.00,59.00,82.00,15.00,5430.00,2405.00
5364,"Ironman 70.3 Boulder",2012,95.00,60.80,67.00,11.00,5430.00,2405.00
5365,"Ironman 70.3 Boulder",2010,87.80,59.00,83.00,24.00,5430.00,2405.00
5366,"Ironman 70.3 Boulder",2011,93.20,59.00,52.00,6.00,5430.00,2405.00
5367,"Ironman 70.3 Luxembourg",2013,64.80,53.60,100.00,62.00,600.00,1944.00
5369,"Ironman 70.3 Mont Tremblant",2013,70.50,55.00,99.00,45.00,750.00,3851.00
5370,"Ironman 70.3 Syracuse",2010,71.10,43.00,90.00,52.00,685.00,3486.00
5371,"Ironman 70.3 Syracuse",2012,64.00,39.00,93.00,34.00,685.00,3486.00
5372,"Ironman 70.3 Syracuse",2013,59.00,44.10,84.00,52.00,685.00,3486.00
5373,"Ironman 70.3 Syracuse",2011,69.10,41.00,92.00,37.00,685.00,3486.00
5374,"Ironman 70.3 Buffalo Springs Lake",2002,91.00,66.20,90.00,40.00,2873.00,1870.00
5375,"Ironman 70.3 Buffalo Springs Lake",2005,93.00,64.00,64.00,24.00,2873.00,1870.00
